代码	名称	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	货币资金(亿)	存货(亿)	应收帐款(亿)	预收账款(亿)	资本公积金(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	扣非净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	股息率%	每股收益	每股净资	调整后净资	每股公积	每股未分配	每股现金流	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	研发费用(亿)	员工人数	交易代码	自选日	自选价	自选收益%	
000001	平安银行	20201022	19910403	        194.06	--  	--  	43469.21	3587.71	--  	91.75	0.00	102.80	39.03	0.00	3845.71	0.00	0.00	--  	808.16	1165.64	0.00	289.23	83.03	288.26	223.98	223.98	223.16	1306.64	306.98	1154.17	351374.00	         23225	43.01万	-5.18	13.22	          1.24	11.71	3.08	1.18	1.110㈢	         14.88	14.88	          4.16	          6.73	          1.58	          8.25	   6.24㈢	--  	         24.81	         19.22	--  	34980	000001	--  	--  	--  	
000002	万 科Ａ	20201030	19910129	        116.18	--  	         18.94	18144.66	2026.75	        999.67	83.32	15038.50	126.92	52.21	13175.39	1730.50	9557.13	26.79	8.37	187.57	2414.91	1691.96	421.54	45.02	418.38	300.72	198.63	188.89	1034.04	333.81	77.95	371526.00	         17419	49.57万	8.89	7.85	          1.63	9.91	1.37	3.57	1.740㈢	         17.45	0.00	          1.61	          8.90	          2.87	         11.17	   9.80㈢	         29.94	         17.46	          8.23	3.94	133455	000002	--  	--  	--  	
000004	国华网安	20201124	19910114	          1.65	--  	--  	15.48	14.50	          0.12	5.59	5.27	0.02	0.20	0.82	1.29	0.00	3.29	--  	12.00	1.47	0.26	0.61	0.00	0.61	0.55	0.57	0.57	0.72	-0.54	-0.18	21478.00	          2796	7.25万	677.81	35.87	          2.95	-79.88	29.11	0.00	0.348㈢	          8.78	0.00	          7.27	          0.43	         -0.32	         93.63	   3.96㈢	         82.38	         41.18	         39.08	0.17	251	000004	--  	--  	--  	
000005	世纪星源	20201029	19901210	         10.59	--  	--  	29.39	16.23	          0.92	41.67	15.11	0.28	0.43	11.86	0.63	0.39	3.47	--  	6.88	2.18	1.83	-0.28	0.37	-0.28	-0.28	-0.28	-0.59	-1.72	0.27	-0.33	112902.00	          7785	1.97万	-161.90	-61.70	          1.65	99.85	12.28	0.00	-0.026㈢	          1.53	0.00	          0.65	         -0.16	          0.03	         55.21	  -1.70㈢	         16.00	        -12.83	        -12.64	0.17	680	000005	--  	--  	--  	
000006	深振业Ａ	20201029	19920427	         13.50	--  	--  	154.02	70.09	          4.53	51.55	118.56	0.14	0.00	44.95	29.00	76.79	0.15	--  	4.84	16.03	8.87	6.33	2.82	6.23	5.28	5.10	4.95	33.78	-0.44	-1.54	75414.00	         11434	6.08万	12.97	-18.33	          1.02	-162.76	4.48	3.36	0.378㈢	          5.19	0.00	          0.36	          2.50	         -0.03	         45.51	   7.28㈢	         44.68	         39.50	         31.83	--  	385	000006	--  	--  	--  	
000007	全新好	20201031	19920413	          3.46	--  	--  	4.78	1.64	          0.03	65.03	3.39	0.59	0.00	0.39	0.20	0.01	0.01	0.00	1.57	0.34	0.10	-0.41	-0.14	-0.41	-0.46	-0.46	0.07	-3.11	-0.08	-0.24	12686.00	         15426	12.33万	-388.90	8.16	         16.90	-328.62	82.36	0.00	-0.131㈢	          0.47	0.00	          0.45	         -0.90	         -0.02	         34.27	 -27.78㈢	         70.41	       -121.54	       -135.43	--  	84	000007	--  	--  	--  	
000008	神州高铁	20201204	19920507	         27.81	--  	--  	122.66	71.88	          1.29	40.35	56.93	4.34	2.64	40.04	8.22	9.91	29.60	--  	27.83	9.53	6.13	-2.29	-0.12	-2.40	-2.35	-2.42	-2.70	18.04	0.56	-4.44	90753.00	         25511	6.71万	-262.86	-38.91	          1.02	130.12	7.67	0.37	-0.090㈢	          2.58	0.00	          1.00	          0.65	          0.02	         58.60	  -3.36㈢	         35.64	        -24.02	        -25.36	1.35	2618	000008	--  	--  	--  	
000009	中国宝安	20201127	19910625	         25.79	--  	--  	314.93	67.65	         60.48	59.32	208.90	45.12	10.83	117.70	60.46	86.81	16.55	--  	12.39	69.38	45.23	10.85	6.86	10.86	8.19	5.22	-1.20	26.98	7.30	6.97	174962.00	         12294	8.45万	159.89	-20.76	          2.62	24.28	2.55	0.29	0.202㈢	          2.62	0.00	          0.48	          1.05	          0.28	         21.48	   7.71㈢	         34.80	         15.64	          7.52	2.78	13239	000009	--  	--  	--  	
000010	美丽生态	20201030	19951027	          8.20	--  	--  	44.98	4.77	          3.40	81.85	37.85	0.40	0.08	36.19	0.23	1.82	15.49	--  	14.80	7.75	5.92	0.94	0.00	0.90	0.56	0.26	-0.02	-18.31	-3.69	-0.60	30541.00	         14788	5.83万	-40.40	-28.48	          6.78	-8.74	4.17	0.00	0.032㈢	          0.58	0.00	          1.80	         -2.23	         -0.45	         10.60	   5.46㈢	         23.61	         12.09	          3.36	--  	339	000010	--  	--  	--  	
000011	深物业A	20201026	19920330	          5.96	          0.68	--  	122.15	31.28	          0.69	73.83	108.39	0.88	0.01	52.91	41.84	54.51	2.71	0.33	0.80	17.54	8.73	2.33	0.00	2.34	1.41	1.92	1.90	24.35	-4.53	8.71	55552.00	          3954	4.86万	7.75	18.54	          2.34	-16.16	4.17	2.93	0.323㈢	          5.25	0.00	          0.14	          4.09	         -0.76	         25.61	   6.15㈢	         50.20	         13.26	         10.97	--  	7769	000011	--  	--  	--  	
000012	南 玻Ａ	20201123	19920228	         30.71	         11.09	--  	181.43	101.65	          3.92	41.81	46.22	86.34	10.90	41.03	17.91	9.12	9.49	--  	5.97	74.68	52.02	9.56	0.00	9.43	7.49	7.27	6.72	53.74	16.73	-0.43	137630.00	         16931	11.67万	33.53	-2.52	          2.08	12.65	2.83	1.02	0.240㈢	          3.31	0.00	          0.19	          1.75	          0.54	         56.03	   7.15㈢	         30.35	         12.80	          9.73	2.65	10454	000012	--  	--  	--  	
000014	沙河股份	20201026	19920602	          2.02	--  	--  	21.71	9.03	          0.59	55.72	20.35	0.26	0.00	10.50	3.55	15.91	0.01	--  	0.10	2.30	1.32	0.15	0.00	0.24	0.18	0.14	0.07	4.60	1.19	2.30	23505.00	          5662	4.85万	223.20	153.68	          1.91	14.56	7.51	0.13	0.069㈢	          4.48	0.00	          0.05	          2.28	          0.59	         41.58	   1.53㈢	         42.70	          6.50	          6.01	--  	154	000014	--  	--  	--  	
