code,pinyin,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
000001,PAYX,平安银行,银行,深圳,11.59,194.06,194.06,43469.21,0.0,102.8,808.16,4.16,1.11,14.88,1.2,19910403,1306.64,6.73,13.22,-5.18,0.0,19.22,351374.0
000002,WKA,万 科Ａ,全国地产,深圳,13.14,97.14,116.18,18144.66,15038.5,126.92,187.57,1.61,1.74,17.45,1.72,19910129,1034.04,8.9,7.85,8.89,29.94,8.23,371526.0
000004,GNKJ,国农科技,互联网,深圳,60.77,0.84,1.65,15.48,5.27,0.02,12.0,7.27,0.348,8.78,3.21,19910114,0.72,0.43,35.87,677.81,82.38,39.08,21478.0
000005,SJXY,世纪星源,环境保护,深圳,0.0,10.58,10.59,29.39,15.11,0.28,6.88,0.65,-0.026000000000000002,1.53,1.74,19901210,-1.72,-0.16,-61.7,-161.9,16.0,-12.64,112902.0
000006,SZYA,深振业Ａ,区域地产,深圳,11.49,13.48,13.5,154.02,118.56,0.14,4.84,0.36,0.37799999999999995,5.19,1.12,19920427,33.78,2.5,-18.33,12.97,44.68,31.83,75414.0
000007,QXH,全新好,酒店餐饮,深圳,0.0,3.09,3.46,4.78,3.39,0.59,1.57,0.45,-0.131,0.47,19.56,19920413,-3.11,-0.9,8.16,-388.9,70.41,-135.43,12686.0
000008,SZGT,神州高铁,运输设备,北京,0.0,26.65,27.81,122.66,56.93,4.34,27.83,1.0,-0.09,2.58,1.06,19920507,18.04,0.65,-38.91,-262.86,35.64,-25.36,90057.0
000009,ZGBA,中国宝安,综合类,深圳,27.56,25.52,25.79,314.93,208.9,45.12,12.39,0.48,0.20199999999999999,2.62,2.83,19910625,26.98,1.05,-20.76,159.89,34.8,7.52,186030.0
000010,MLST,美丽生态,建筑工程,深圳,97.83,5.22,8.2,44.98,37.85,0.4,14.8,1.8,0.032,0.58,7.12,19951027,-18.31,-2.23,-28.48,-40.4,23.61,3.36,30541.0
000011,SWYA,深物业A,区域地产,深圳,32.55,5.26,5.96,122.15,108.39,0.88,0.8,0.14,0.32299999999999995,5.25,2.67,19920330,24.35,4.09,18.54,7.75,50.2,10.97,55552.0
000012,NBA,南 玻Ａ,玻璃,深圳,23.35,19.57,30.71,181.43,46.22,86.34,5.97,0.19,0.24,3.31,2.23,19920228,53.74,1.75,-2.52,33.53,30.35,9.73,144634.0
000014,SHGF,沙河股份,全国地产,深圳,102.59,2.02,2.02,21.71,20.35,0.26,0.1,0.05,0.069,4.48,2.1,19920602,4.6,2.28,153.68,223.2,42.7,6.01,23505.0
000016,SKJA,深康佳Ａ,家用电器,深圳,19.69,15.97,24.08,447.85,254.11,23.97,2.3,0.1,0.256,3.54,1.9,19920327,47.35,1.97,-28.5,36.6,6.46,2.06,137732.0
